Video position (%),Absolute audience retention (%),video_id,script_segment,timestamp
54,61.75,E,"Everybody loves the hearty goodness of a home-cooked meal, assuming at least one person in the house can cook.",353.16
55,61.49,E,But renowned mathematician Kurt Gödel took his love of his wife’s home cooking to ridiculous levels. Despite – or,359.7
56,63.43,E,"perhaps because of – his brilliance as a mathematician, Gödel was an extremely paranoid man. His paranoia grew to",366.24
57,60.61,E,"the point where, in his later years, he refused to eat anything that hadn’t first been tasted or prepared",372.78000000000003
58,60.11,E,"by his wife. Believing himself to be at the centre of a poisoning plot, when his wife was hospitalised",379.32
59,59.97,E,"for six weeks in 1977 and hence was unable to cook for her husband, Gödel stopped eating. By the",385.86
60,59.39,E,"end of January 1978, he had died of malnutrition - weighing only 65 pounds when he died. In the",392.4
61,58.78,E,"end, through his desperation to avoid being murdered, he was the one responsible for his own death. It really",398.94
62,58.35,E,"goes to show: if you want something doing right, do it yourself. Hungry For More? While some dumb deaths",405.48
63,58.21,E,"are caused by no eating at all, occasionally someone will kick the bucket because of the total opposite. In",412.02
64,57.81,E,"this case, the bucket was filled to the brim with sticky, delicious sweet rolls. Adolf Frederick, King of Sweden",418.56
65,57.44,E,"from 1751 to 1771, wasn’t a particularly good king. He was regarded as lacking the aptitude, fortitude and integrity",425.1
66,57.32,E,"necessary to successful kingship. But what he lacked as a king, he made up for in appetite. He was",431.64
67,57.31,E,"a lover of food, with a sweet tooth, and it could never be said that his eyes were bigger",438.18
68,57.16,E,than his belly. But while the amount of food he consumed on his last meal in February 1771 did,444.72
69,56.96,E,"exceed the limitations of his large belly, he finished it nonetheless. After a heaping feast of seafood, sauerkraut and",451.26
70,56.92,E,"champagne, he moved on to dessert. This consisted of no less than 14 Swedish sweet rolls, all dipped in",457.8
71,56.41,E,"hot milk flavoured with cinnamon and raisins. While he was reportedly stockpiling for the Christian tradition of Lent, he",464.34
72,56.09,E,"clearly overshot his mark, as his digestive system completely shut down and he died. It just goes to show:",470.88
73,55.97,E,death by cake isn’t as sweet as it sounds. A Cut Above The Vest Nobody wants to be conned,477.42
74,55.64,E,"when making a purchase. Indeed, being sold a stab-proof vest that offers the protection of a wet noodle is",483.96
75,55.41,E,hardly an ideal scenario. But it should go without saying that testing the stab-ability of such a vest should,490.5
76,55.13,E,"be done with at least one qualifying factor: taking the vest off first. Unfortunately, that first rule of stab",497.04
77,54.48,E,"club whistled in one ear, through the empty skull cavity, and out the other ear of one Englishman in",503.58
78,54.16,E,"2018. Mistakenly believing his jacket was stab-proof, the man took a knife and plunged it into his jacket while",510.12
79,54.14,E,"at the kitchen table. It turned out, the jacket wasn’t stab-proof, and funnily enough, neither was he. Before I",516.66
80,53.91,E,"get to the dumbest death magnets of the bunch, let’s take a look at some contenders who somehow managed",523.2
81,54.04,E,"to avoid qualifying for a Darwin award by surviving their stupidity. This electrician clearly trained with the best, because",529.74
82,53.04,E,"after all, there’s no better insulator than a nice cool puddle of muddy water. Another top-of-the-class graduate of the",536.28
83,52.67,E,"Elite Electricians Academy is this fellow, who’s also in on the secret that water and electricity are actually a",542.82
84,52.25,E,great mix – but the rubber industry doesn’t want you to know that! For any Darwin Award nominees watching,549.36
85,52.19,E,"– that was a joke. Anyway, this next close contender seems to be pulling a prank with a fuel-depleted",555.9
86,51.87,E,chainsaw held alarmingly close to his nether region. But the risk-to-reward ratio of this particular prank earns this guy,562.44
87,51.63,E,"a firm position in the at-risk Darwin award survivors club. That’s just no place for a chainsaw, joke or",568.98
88,51.18,E,not. The final at-risk survivor is this fellow who let rage overcome any shred of rational thought. While his,575.52
89,50.68,E,"friend drives, he takes the noble position of car-puncher; hanging out of the car window and attacking the hard",582.0600000000001
90,50.36,E,"walls of another vehicle with his bare hands, like the genius he so clearly is. As his car swerves,",588.6
91,50.31,E,"he accidentally opens his door, and tumbles gracefully onto the highway. Hey, at least he stuck the landing! Though,",595.14
92,50.23,E,"if this is his reaction to a bit of road rage, I feel like his Darwin award isn’t too",601.68
93,50.08,E,"far away over the horizon. A Bridge Too Far Videogames, movies and TV shows have led us all to",608.22
94,49.91,E,believe that clearing a rising drawbridge in a car is a viable feat. It isn’t. But that realisation never,614.76
95,49.54,E,occurred to a couple of wannabe Texan stuntmen who put their inflated senses of their own abilities to the,621.3
96,49.17,E,test in May 2019. Witnesses reported seeing a car’s passenger lift the barrier of the Black Bayou drawbridge in,627.84
97,48.17,E,"Louisiana, before the car sped off up the rising ramp. Now, admittedly, some people do occasionally survive these jumps,",634.38
98,27.69,E,like this distracted driver who didn’t even realise the bridge had begun to rise before cruising over the top,640.92
99,18.16,E,"to the other side. But these people are the minority and shouldn’t be taken as representative of the majority. Because the majority, like our Texan friends, follow a learning curve that’s steeper than the downward path of their car. However, any learning was short-lived in this case, as the Texan pair were trapped in their car after it failed to make the jump to the other side. They sank and soon drowned. Put simply, they were neither fast, nor furious enough. Which Darwin award winner do you think was the stupidest? Do you know of any more ridiculously dumb ways people died? Let me know in the comments section below. Thanks for watching!",647.46
