Video position (%),Absolute audience retention (%),Compared to other videos (%),script_segment
20,73.64,44.56,"to take a late-night bike ride along the 405 Freeway in Long Beach, California. He trundled along in the auxiliary lane"
21,73.37,41.56,"– which is designed to allow drivers to speed up or slow down – on the 60mph highway in the dark,"
22,72.95,39.15,"unaware of the danger. Unsurprisingly, a driver using the auxiliary lane, not expecting to see a cyclist, ploughed into the bicycle"
23,72.38,37.49,"at full-speed, unable to stop. The cyclist was killed, and the driver was traumatised by an accident that should never have"
24,71.73,36.62,"happened. So, unless you’re a superhuman who can ride their bicycle at 60mph and over, leave the highways to the motorists."
25,71.53,36.27,"Boredom Cure When you’re prone to outrageously-bad decisions, tempting fate is about twice as dumb as it is for regular people."
26,71.15,35.96,"That didn’t stop a Brazilian student, though, whose Facebook bio proudly proclaimed the infinitely-wise proverb: ‘better to die from vodka than"
27,70.73,35.49,"from boredom’. He put that adage to the test at a drinking contest in 2015, when he slammed 25 shots of"
28,70.45,35.28,"vodka in less than 60 seconds. Shortly after sinking the final one, the student said he felt ill and collapsed. On"
29,70.22,35.85,"the way to the hospital, he died of alcohol poisoning. Even over an hour, that many shots could’ve been potentially deadly,"
30,69.8,36.94,but in a minute? Forget about it. It’s fair to say anyone who was cheering this guy on is just as
31,70.51,37.47,"dumb as he was. Past Your Bedtime We’re often reminded of how important a good night’s sleep is, and for good"
32,68.91,36.62,reason! But the impact of staying up too late went far beyond feeling groggy the next morning for one Chinese fellow
33,68.76,34.54,"in 2014. As a huge soccer fan, losing sleep during the World Cup due to the 11-hour time difference between host"
34,68.57,31.98,"nation Brazil and his own was no biggie. But the stress, exhaustion and excitement of watching soccer’s greatest players go head-to-head,"
35,68.0,29.65,non-stop for the 48-hour stretch he stayed awake for took its toll. His extreme exhaustion is thought to have triggered a
36,67.48,28.14,brain haemorrhage – something research suggests sleep deprivation significantly increases the chances of. He died shortly after the last match of
37,67.28,28.01,"the day, when Costa Rica defeated Uruguay 3-1. Whether he was a fan of the losing side and took the loss"
38,66.47,29.47,"particularly – and fatally – hard, is unclear. But if my parents had told me I could die from staying up"
39,66.44,32.08,"too late, I probably would’ve got more sleep as a teenager! Calamity Convoy One night in April 2016, a truly bizarre"
40,66.38,34.75,"convoy was seen chugging along a road in Louisiana. One man was driving a sit-down lawnmower, while another sat upon the"
41,66.67,36.05,"hood, and a third sat in a wheelchair, holding onto the back, being pulled along. The trio was reportedly having the"
42,66.42,34.97,"time of their lives on their ride along a busy road… that is, until a truck smashed into them from behind."
43,65.54,32.07,"As shocking as it seems, it turned out a darkened roadway wasn’t the best place for a tagalong DIY joyride. Miraculously,"
44,64.6,29.59,"the only person to die in the incident was the man behind the wheel of the lawnmower, who had seemingly instigated"
45,64.22,29.73,the ridiculous activity. Hopefully his friends will keep their mowers firmly on the grass from now on. Shotgun Wedding It’s not
46,64.24,32.0,"my place to criticise another culture’s traditions, but… a circle of dancing men, haphazardly firing shotguns into the air doesn’t seem"
47,66.4,33.48,"like the smartest way to celebrate a wedding. Unfortunately, that was the method of choice for a group of Indian wedding"
48,64.12,32.09,attendees with a taste for celebratory gunfire in 2019. The first round of gunshots - fired dangerously closely over the dancers’
49,63.91,28.51,"heads - almost deafened several of them. But the next round, fired without any regard to things like, oh I don’t"
50,63.84,24.65,"know… aiming… resulted in one shotgun-wielding guest receiving a direct hit to the face. Unaware, the oblivious reveller continued to gleefully"
51,63.21,21.68,"fire shots until he was made aware of what he’d done. Needless to say, after he’d finally decided to look around"
52,62.82,19.61,"him, the festivities were over. From now on, how about we stick to wedding bells rather than shotgun shells, eh? Premature"
53,62.45,18.26,"Detonation Every master criminal has to start with the smaller jobs before the big bucks come along. That said, robbing a"
54,62.21,17.5,machine full of condoms for its contents and cash isn’t exactly the usual mark of a criminal genius in-the-making. But on
55,62.19,17.04,"Christmas Day, 2015, a group of amateur German thieves decided it was time to make headway in the crime game. They"
56,62.11,16.46,"bundled some explosives into a condom dispenser and lit her up. But to their surprise, the explosion blasted chunks of the"
57,61.61,15.47,metal enclosure outwards with enough speed to become deadly projectiles. One of the rubber-robbers was struck in the head and died
58,61.12,14.06,"shortly afterwards. The machine wasn’t in a much better state, either. I hate to state the obvious, but I really think"
59,60.78,12.58,"that condom-crazy criminal would’ve been okay if he’d just worn protection. Cold-Blooded Companions For many people, the idea of having a"
60,60.57,11.58,"snake in their house is nightmare fuel. For others, a snake is an ideal pet. For a woman living in Indiana"
61,60.45,11.48,"in 2019, though, one snake wasn’t enough. Her ideal number wasn’t 2, or 3… it was 140. As an enthusiast and"
62,60.49,12.28,"part-time breeder, you’d think the 36-year-old would’ve had a solid understanding of the risks of living with reptiles that have the"
63,60.65,13.69,"ability to kill you. But whether she let her guard down, or just felt comfortable letting the creatures roam free, one"
64,60.31,15.68,"fateful evening saw one of her snakes turn on its owner. The next day, the town sheriff was horrified to discover"
65,59.92,18.56,the reptile enthusiast held in a deadly embrace by one of her beloved pets; an 8-foot-long python. It had strangled her
66,59.72,22.24,"to death hours before, but was still wrapped around her neck, proving that when a python wants a hug, there are"
67,59.48,25.47,"no half-measures. Pythons… Just. Say. No. Look Ma – No Hands! Of all the times to show off, doing so while"
68,61.51,26.24,cruising on a motorbike at 85mph is undoubtedly among the stupidest. That didn’t stop one Russian motorbike blogger who fancied himself
69,58.04,23.7,"somewhat of a daredevil on his Harley Davidson in June 2019. He raced along, using his feet to steer while filming"
70,57.92,19.17,"with his hands, bragging about how his ability to not give a [beep] made these kinds of stunts possible. Mere moments"
71,57.53,15.14,"after sending the outrageously dangerous video on to a friend, the biker lost control, and his Harley flipped dozens of times,"
72,57.13,13.27,"smashing against the tarmac. The vehicle ended up only slightly less mangled than its rider did, but even the most skilled"
73,57.04,13.78,"mechanics and doctors combined couldn’t put the two back together. Texting and riding is dumb enough, but if you follow in"
74,56.97,16.03,"this guy’s footsteps, the only thing waiting down the road is a tarmac-covered Darwin Award. Heads Up! Bumping your head is"
75,57.12,18.9,one of the most rage-inducing minor pains a person can sustain. But even a direct smack into the hardest low-hanging shelf
76,57.23,21.22,doesn’t compare to what one daredevil with a taste for trains and trespassing went through in North Carolina in 2018. In
77,57.12,22.15,"an attempt to satisfy his adrenaline cravings, he climbed onto a train’s roof and, as if it was a wild, metal"
78,56.98,21.47,"stallion, attempted to ride it. It went well initially; he’d been issued warnings previously for similar incidents, so he probably had"
79,56.61,19.76,his head around the balancing-act train-top-cruising required. But his head ended up around something else when the train passed under a
80,56.5,18.36,"low-hanging bridge. Apparently not seeing the bridge in time, he hit it at full speed and, it turns out, hitting solid"
81,55.71,18.77,"objects at around 90mph isn’t very good for the human body. 2 months later, his skull was found on the side"
82,55.45,21.55,"of the railroad, approximately 128 miles from the stop where his body was found on the day of the accident. This"
83,55.48,25.27,"led authorities to a grisly conclusion. He’d been – quite literally – decapitated the moment he hit the roof of bridge,"
84,56.77,27.44,and his body had continued along its journey before eventually falling off the train. The conclusion is simple: don’t be a
85,56.32,26.6,train cowboy – it’s a real headache. Bad Time For A Stroll Drive-thru Safari Parks are a great way for anyone
86,55.79,23.14,"with a love for nature’s wildest beasts to experience them up-close, safely. Well, it’s safe just as long as you follow"
87,55.64,18.56,one simple rule: stay inside your vehicle at all times. But on a summer’s day in 2016 at Badaling Safari World
88,55.5,14.33,"in Beijing, that simple rule was broken in an act of overwhelming stupidity. After an argument broke out between a passenger"
89,55.39,11.19,"and driver of a car driving through the tiger enclosure, the passenger stormed out of the car in frustration. Bad move."
90,55.81,9.01,"Within seconds, a tiger leapt over and snatched her off in its jaws. But while this was indeed a mind-numbingly stupid"
91,55.75,7.01,"decision, the response of the other occupants of the car is what proved deadly. Despite the fact that park officials were"
92,55.18,4.46,"already merely feet away on their rescue mission, one passenger decided she’d be able to overpower the tiger herself. So, she"
93,54.6,1.13,"got out, ran over… and was immediately killed by one of nature’s most efficient murder-machines. Ironically, the person she’d aimed to"
94,53.89,-2.69,"save survived, and if she’d only waited a second for the highly-trained park officials to take over, she could’ve too. It"
95,53.31,-6.05,"shouldn’t need to be said, but if you’re going to fight a tiger unarmed, you’re going to lose. Together Forever Of"
96,52.77,-6.94,"all the ways to go, passing away while doing the dirty is probably one of the best. But for an elderly"
97,51.88,-3.79,"man who hired an escort in 2016, the aftermath was where the real embarrassment lay. Unfortunately, in the heat of passion,"
98,38.78,1.67,"the man suffered a heart-attack and died, much to his paid companion’s horror. But to make matters worse, the combination of"
99,30.26,5.76,"the escort’s panic, and the man’s no-longer-circulated blood-flow, the pair became… well… stuck. Unable to break free from the horrifically morbid "
