Video position (%),Absolute audience retention (%),video_id,script_segment,timestamp
21,70.22,F,"escape. The man had been locked up in his room by his mother to try to control his hard-drinking lifestyle, so",149.73
22,69.87,F,he hatched an escape plan. The grounded 47-year-old decided that rappelling down from the 9th-story apartment window would be the best,156.85999999999999
23,70.65,F,"way out. Unfortunately, he didn’t have any heavy-duty steel wire available, and opted to use a simple ethernet cable instead. It’s",163.99
24,69.43,F,"unclear what he tried to attach it to, but the makeshift abseiling equipment snapped almost instantly, and he plummeted to the",171.12
25,69.33,F,"pavement below. His mother’s plan worked: he never drank again. Heat Treatment In 2019, in Bengaluru, India, an act of lethal",178.25
26,68.08,F,stupidity brought one man’s life to a rather heated end. While cleaning out a chimney at his home using petrol-fuelled cleaning,185.38
27,67.68,F,"equipment, the irresistible call of nicotine came a-knockin’. Disregarding the common-sense warnings against using naked flames near petrol-fuelled machines, he pulled",192.51
28,67.19,F,"out his lighter to spark up a cigarette. Unfortunately, in the process of loading up the cleaning equipment, he’d accidentally doused",199.64
29,67.31,F,"himself in a considerable amount of petrol. The moment he lit his cigarette, his clothes went up in flames, and within",206.77
30,67.31,F,"minutes, he’d burnt to death. Not only did he die a totally avoidable, agonizing death; the smoke he released probably undid",213.9
31,66.94,F,"a fair chunk of his cleaning work too! Blocked Up The obesity epidemic is a very modern problem, arising from our",221.03
32,66.21,F,species’ transition into the double-edged sword of having a constant abundance of food. But while heart disease and diabetes are typical,228.16
33,65.95,F,"thoroughfare for the obese, one woman’s excessive weight presented an additional fatal issue: one of logistics. When the 30-stone woman, from",235.29
34,65.55,F,"Dorset, England, went into cardiac arrest in January 2016, the medics who arrived were presented with a unique predicament. Because of",242.42
35,65.21,F,"her weight, it was almost impossible to lug her outside to the emergency vehicles. A long series of proposed solutions ensued,",249.54999999999998
36,64.63,F,"including a suggestion that firefighters remove a window to hoist her down, but before something could be decided, it was too",256.68
37,64.65,F,"late. Thanks to the unexpected obstacles and delays her obesity caused, the woman died an otherwise-preventable death before she could reach",263.81
38,64.54,F,"a hospital. Unhappy Accidents We’ve all claimed to be ‘dying from embarrassment’ at some point, after a particularly humiliating event in",270.94
39,63.94,F,"the public eye. But tripping in the school corridor, or accidentally farting on a first date, usually doesn’t prove fatal in",278.07
40,64.19,F,"a literal sense. For one 69-year-old Florida man, though, a supremely embarrassing episode in 2016 spelled his end. After doing his",285.2
41,63.99,F,"business in a Walgreens restroom, staff were appalled to find the stall looking like an explosion at the chocolate factory. Staff",292.33
42,63.6,F,called him back to the scene of the crime and demanded – very publicly – that he clean up his awful,299.46
43,63.43,F,"mess. He eventually obliged, but the sheer embarrassment took its toll. According to his widow, the emotional distress of the incident",306.59
44,62.99,F,"was responsible for the man’s death soon afterwards and she filed a lawsuit against Walgreens on this basis. Indeed, distress can",313.71999999999997
45,62.54,F,"cause cardiac arrest in extreme cases, and if there was ever a legit reason to die of embarrassment, it’d be this",320.85
46,62.77,F,"guy’s bathroom misadventure. It goes to show, if you must leave a mess in a public restroom, have a rapid escape",327.98
47,62.95,F,"plan prepared. Alternative Medicine Of all the things to be sceptical of, the meticulously-tested, highly-regulated treatments of modern medicine are a",335.11
48,60.72,F,"very poor choice. While mistrust of certain scientific methods of treatment is often a problem of ignorance and misinformation, it can",342.24
49,60.31,F,prove a fatal error of judgement when the only alternative is death. Case in point: after being diagnosed with breast cancer,349.37
50,59.73,F,"in 2016, a British mother decided against conventional treatments like chemotherapy and surgery. She decided that natural remedies, like raw turmeric,",356.5
51,59.54,F,"iodine-rich brown seaweed and a vegan diet would be a much better treatment plan. Unsurprisingly, she died in 2019 after the",363.63
52,58.95,F,cancer spread throughout her body. It was a heart-breaking story of wilful ignorance that left a child motherless. There’s nothing funny,370.76
53,58.28,F,"about this one, folks; it’s simply a reminder that science exists for very good reasons, which become clear when people choose",377.89
54,57.91,F,"to ignore it. Just Plane Stupid I’m no aviation expert, but I’d say if you’re up in the air and fuel",385.02
55,57.26,F,"begins to slosh around your feet in the cockpit, you probably have a problem. Unfortunately, one pilot refused to take that",392.15
56,56.67,F,"specific problem seriously, despite the insistence of airport mechanics after he touched down to refuel on a one-man cross-country flight in",399.28
57,56.14,F,"2015. Before the appalled mechanics at Missoula International Airport had a chance to intervene, the Bucker Jungmeister aircraft was back on",406.40999999999997
58,55.89,F,the runway. The pilot insisted that he was in too much of a hurry to carry out repairs and headed straight,413.54
59,55.79,F,onto the next leg of his journey. But the plane would reach its final destination even sooner than expected. 10 seconds,420.67
60,55.63,F,"after take-off, the plane came crashing back down and exploded in a ball of flames. It only takes a glance at",427.8
61,55.36,F,the wreckage to be able to guess whether or not the hasty pilot survived. Spoiler: he didn’t. One In The Chamber,434.93
62,54.91,F,"When it comes to irresponsible behaviour, anything relating to guns lands at the top of the idiot list. But the level",442.06
63,54.6,F,"of stupidity in this story will blow your mind. While enjoying a few beers in Brevard County, Florida, a man and",449.19
64,54.46,F,"his friend began playing around with a handgun. After removing the magazine from the gun, the owner wanted to be extra",456.32
65,54.55,F,"safe and make sure there wasn’t still a bullet in the chamber. After all, you never can be too careful. To",463.45
66,54.4,F,"test this, he jokingly held the gun up to his temple, presumably certain he’d already unloaded it. In light-hearted jest he",470.58
67,54.06,F,"pulled the trigger. With a bang, the party was over. The bright spark was dead by the time police arrived on-scene.",477.71
68,53.52,F,"If there was ever a poster child for gun safety, it’d be this guy. Off-Roading In 2018, a Florida woman learned",484.84
69,53.42,F,"the hard way that trains don’t play fair in a race. While the guard rails were down at a newly-built crossing,",491.96999999999997
70,53.45,F,"the lady made a serious error of judgement, deciding she could cross the tracks before the train reached her. But, as",499.09999999999997
71,53.39,F,"you probably guessed, guard rails are there for a reason; that reason being, if you cross while they’re down, you’re probably",506.23
72,53.03,F,"going to die. And that’s exactly what happened. The woman and her bike met their end with the train, right on",513.36
73,54.31,F,"schedule. A Royal Romance Young love is a powerful thing, and if the case of King Louis III of France is",520.49
74,52.15,F,"anything to go by, even royals aren’t safe from its dangerous snares. In 882C.E., at the lustful age of 18, Louis",527.62
75,52.17,F,"fell for a girl in Saint-Denis on the outskirts of Paris. One day, he spotted her making her way through town,",534.75
76,52.16,F,"and mounted his horse to pursue her. But, with his attention totally fixed upon his love interest, he failed to spot",541.88
77,51.87,F,"the low-hanging lintel of a doorway ahead of him. Moving at speed, he crashed head-first into the frame and fell, fatally",549.01
78,51.55,F,"fracturing his skull. He died soon afterwards, proving once and for all that love… hurts. Unforgettable Entrance After kicking her boyfriend",556.14
79,51.35,F,"out of her house in November 2007, a Florida woman hadn’t hoped to see him on the premises again for a",563.27
80,51.36,F,"while. But after leaving the house for a few hours and returning, the woman was shocked to see her boyfriend again",570.4
81,51.32,F,"so soon. Only, he wasn’t pleading with her to let him back in; it seemed he’d made the decision to enter",577.53
82,51.31,F,"the house by any means necessary… and failed. You see, he’d tried to enter through the cat flap, presumably hoping to",584.66
83,50.73,F,"unlock the door. He’d delved in, got one arm through followed by his head, and gotten stuck. In this embarrassing position,",591.79
84,50.42,F,"he’d died, presumably from asphyxiation, although stupidity hasn’t been ruled out as the main cause of death. One Last Trick It’s",598.92
85,50.19,F,"pretty obvious that, without the right amount of practice and preparation, attempting death-defying stunts can be incredibly stupid and dangerous. For",606.05
86,49.84,F,"an Indian escape artist by the name of Chanchal Lahiri, an attempt to emulate the great masters like Harry Houdini ended",613.18
87,49.66,F,"in disaster in 2019. Lahiri was lowered into the strong currents of the Hooghly River near Howrah, India, with his hand",620.31
88,49.51,F,"and feet tied. He was expected to escape and resurface soon after, but onlookers grew concerned after 15 minutes with no",627.4399999999999
89,49.46,F,"sign of the illusionist. He wouldn’t resurface until much later, when police pulled his lifeless body from the river. Officials stated",634.5699999999999
90,49.4,F,"that Lahiri’s cumbersome outfit, combined with the strong currents of the river, made an escape nearly impossible. Without the necessary preparations,",641.7
91,49.09,F,"Lahiri seemed to have grossly underestimated the difficulty of the stunt and fell victim to his own ego. Really, though, if",648.83
92,48.82,F,"being tied up and thrown into a river seems like anything other than a bad idea, then... [roll clip] Cut Of",655.96
93,48.58,F,"The Cash Hurting yourself as an insurance scam is never clever, but an Italian man achieved maximum stupidity in 2001 with",663.09
94,48.38,F,"what may be the dumbest money-making scheme of all time. After taking out several policies with different insurance companies, the man",670.22
95,48.05,F,had asked his cousin to cut his leg off with a chainsaw. He’d hoped to cash in for over half a,677.35
96,47.64,F,"million dollars on the injury with claims of being permanently disabled by the so-called ‘accident’. But, while the DIY amputation was",684.48
97,47.31,F,"being performed, extreme blood loss set in, and the would-be fraudster died from his gruesome injuries. His cousin, fittingly, was arrested",691.61
98,32.5,F,"for the psychotically-stupid act, and he didn’t even manage to saw all the way through! If you want something doing, do",698.74
99,19.86,F,"it yourself, I guess? Do you have any bizarre local tales of lethal stupidity? Let me know in the comments section below. Thanks for watching!",705.87
